match_id,event_file,competition_id,season_id
3754101,open-data-master\data\events\3754101.json,2,27
3754102,open-data-master\data\events\3754102.json,2,27
3754103,open-data-master\data\events\3754103.json,2,27
3754104,open-data-master\data\events\3754104.json,2,27
3754105,open-data-master\data\events\3754105.json,2,27
3754106,open-data-master\data\events\3754106.json,2,27
3754108,open-data-master\data\events\3754108.json,2,27
3754109,open-data-master\data\events\3754109.json,2,27
3754110,open-data-master\data\events\3754110.json,2,27
3754111,open-data-master\data\events\3754111.json,2,27
3754112,open-data-master\data\events\3754112.json,2,27
3754113,open-data-master\data\events\3754113.json,2,27
3754114,open-data-master\data\events\3754114.json,2,27
3754115,open-data-master\data\events\3754115.json,2,27
3754116,open-data-master\data\events\3754116.json,2,27
3754118,open-data-master\data\events\3754118.json,2,27
3754119,open-data-master\data\events\3754119.json,2,27
3754120,open-data-master\data\events\3754120.json,2,27
3754123,open-data-master\data\events\3754123.json,2,27
3754124,open-data-master\data\events\3754124.json,2,27
3754126,open-data-master\data\events\3754126.json,2,27
3754127,open-data-master\data\events\3754127.json,2,27
3754128,open-data-master\data\events\3754128.json,2,27
3754129,open-data-master\data\events\3754129.json,2,27
3754130,open-data-master\data\events\3754130.json,2,27
3754131,open-data-master\data\events\3754131.json,2,27
3754132,open-data-master\data\events\3754132.json,2,27
3754133,open-data-master\data\events\3754133.json,2,27
3754134,open-data-master\data\events\3754134.json,2,27
3754136,open-data-master\data\events\3754136.json,2,27
3754139,open-data-master\data\events\3754139.json,2,27
3754140,open-data-master\data\events\3754140.json,2,27
3754141,open-data-master\data\events\3754141.json,2,27
3754142,open-data-master\data\events\3754142.json,2,27
3754144,open-data-master\data\events\3754144.json,2,27
3754145,open-data-master\data\events\3754145.json,2,27
3754147,open-data-master\data\events\3754147.json,2,27
3754148,open-data-master\data\events\3754148.json,2,27
3754149,open-data-master\data\events\3754149.json,2,27
3754151,open-data-master\data\events\3754151.json,2,27
3754152,open-data-master\data\events\3754152.json,2,27
3754154,open-data-master\data\events\3754154.json,2,27
3754155,open-data-master\data\events\3754155.json,2,27
3754158,open-data-master\data\events\3754158.json,2,27
3754159,open-data-master\data\events\3754159.json,2,27
3754160,open-data-master\data\events\3754160.json,2,27
3754161,open-data-master\data\events\3754161.json,2,27
3754162,open-data-master\data\events\3754162.json,2,27
3754163,open-data-master\data\events\3754163.json,2,27
3754164,open-data-master\data\events\3754164.json,2,27
3754165,open-data-master\data\events\3754165.json,2,27
3754166,open-data-master\data\events\3754166.json,2,27
3754168,open-data-master\data\events\3754168.json,2,27
3754169,open-data-master\data\events\3754169.json,2,27
3754170,open-data-master\data\events\3754170.json,2,27
3754171,open-data-master\data\events\3754171.json,2,27
3754172,open-data-master\data\events\3754172.json,2,27
3754173,open-data-master\data\events\3754173.json,2,27
3754174,open-data-master\data\events\3754174.json,2,27
3754175,open-data-master\data\events\3754175.json,2,27
3754176,open-data-master\data\events\3754176.json,2,27
3754177,open-data-master\data\events\3754177.json,2,27
3754178,open-data-master\data\events\3754178.json,2,27
3754179,open-data-master\data\events\3754179.json,2,27
3754180,open-data-master\data\events\3754180.json,2,27
3754181,open-data-master\data\events\3754181.json,2,27
3754182,open-data-master\data\events\3754182.json,2,27
3754183,open-data-master\data\events\3754183.json,2,27
3754184,open-data-master\data\events\3754184.json,2,27
3754186,open-data-master\data\events\3754186.json,2,27
3754187,open-data-master\data\events\3754187.json,2,27
3754190,open-data-master\data\events\3754190.json,2,27
3754191,open-data-master\data\events\3754191.json,2,27
3754192,open-data-master\data\events\3754192.json,2,27
3754193,open-data-master\data\events\3754193.json,2,27
3754195,open-data-master\data\events\3754195.json,2,27
3754196,open-data-master\data\events\3754196.json,2,27
3754197,open-data-master\data\events\3754197.json,2,27
3754198,open-data-master\data\events\3754198.json,2,27
3754200,open-data-master\data\events\3754200.json,2,27
3754201,open-data-master\data\events\3754201.json,2,27
3754204,open-data-master\data\events\3754204.json,2,27
3754206,open-data-master\data\events\3754206.json,2,27
3754207,open-data-master\data\events\3754207.json,2,27
3754208,open-data-master\data\events\3754208.json,2,27
3754209,open-data-master\data\events\3754209.json,2,27
3754211,open-data-master\data\events\3754211.json,2,27
3754212,open-data-master\data\events\3754212.json,2,27
3754214,open-data-master\data\events\3754214.json,2,27
3754215,open-data-master\data\events\3754215.json,2,27
3754216,open-data-master\data\events\3754216.json,2,27
3754217,open-data-master\data\events\3754217.json,2,27
3754218,open-data-master\data\events\3754218.json,2,27
3754219,open-data-master\data\events\3754219.json,2,27
3754220,open-data-master\data\events\3754220.json,2,27
3754221,open-data-master\data\events\3754221.json,2,27
3754223,open-data-master\data\events\3754223.json,2,27
3754224,open-data-master\data\events\3754224.json,2,27
3754225,open-data-master\data\events\3754225.json,2,27
3754227,open-data-master\data\events\3754227.json,2,27
3754231,open-data-master\data\events\3754231.json,2,27
3754232,open-data-master\data\events\3754232.json,2,27
3754234,open-data-master\data\events\3754234.json,2,27
3754236,open-data-master\data\events\3754236.json,2,27
3754237,open-data-master\data\events\3754237.json,2,27
3754238,open-data-master\data\events\3754238.json,2,27
3754239,open-data-master\data\events\3754239.json,2,27
3754240,open-data-master\data\events\3754240.json,2,27
3754241,open-data-master\data\events\3754241.json,2,27
3754242,open-data-master\data\events\3754242.json,2,27
3754243,open-data-master\data\events\3754243.json,2,27
3754245,open-data-master\data\events\3754245.json,2,27
3754247,open-data-master\data\events\3754247.json,2,27
3754248,open-data-master\data\events\3754248.json,2,27
3754249,open-data-master\data\events\3754249.json,2,27
3754250,open-data-master\data\events\3754250.json,2,27
3754251,open-data-master\data\events\3754251.json,2,27
3754253,open-data-master\data\events\3754253.json,2,27
3754254,open-data-master\data\events\3754254.json,2,27
3754255,open-data-master\data\events\3754255.json,2,27
3754257,open-data-master\data\events\3754257.json,2,27
3754258,open-data-master\data\events\3754258.json,2,27
3754259,open-data-master\data\events\3754259.json,2,27
3754260,open-data-master\data\events\3754260.json,2,27
3754261,open-data-master\data\events\3754261.json,2,27
3754262,open-data-master\data\events\3754262.json,2,27
3754264,open-data-master\data\events\3754264.json,2,27
3754265,open-data-master\data\events\3754265.json,2,27
3754266,open-data-master\data\events\3754266.json,2,27
3754267,open-data-master\data\events\3754267.json,2,27
3754268,open-data-master\data\events\3754268.json,2,27
3754269,open-data-master\data\events\3754269.json,2,27
3754271,open-data-master\data\events\3754271.json,2,27
3754273,open-data-master\data\events\3754273.json,2,27
3754274,open-data-master\data\events\3754274.json,2,27
3754275,open-data-master\data\events\3754275.json,2,27
3754277,open-data-master\data\events\3754277.json,2,27
3754278,open-data-master\data\events\3754278.json,2,27
3754279,open-data-master\data\events\3754279.json,2,27
3754280,open-data-master\data\events\3754280.json,2,27
3754281,open-data-master\data\events\3754281.json,2,27
3754282,open-data-master\data\events\3754282.json,2,27
3754283,open-data-master\data\events\3754283.json,2,27
3754284,open-data-master\data\events\3754284.json,2,27
3754285,open-data-master\data\events\3754285.json,2,27
3754287,open-data-master\data\events\3754287.json,2,27
3754288,open-data-master\data\events\3754288.json,2,27
3754289,open-data-master\data\events\3754289.json,2,27
3754290,open-data-master\data\events\3754290.json,2,27
3754292,open-data-master\data\events\3754292.json,2,27
3754293,open-data-master\data\events\3754293.json,2,27
3754294,open-data-master\data\events\3754294.json,2,27
3754295,open-data-master\data\events\3754295.json,2,27
3754296,open-data-master\data\events\3754296.json,2,27
3754297,open-data-master\data\events\3754297.json,2,27
3754298,open-data-master\data\events\3754298.json,2,27
3754299,open-data-master\data\events\3754299.json,2,27
3754300,open-data-master\data\events\3754300.json,2,27
3754301,open-data-master\data\events\3754301.json,2,27
3754303,open-data-master\data\events\3754303.json,2,27
3754306,open-data-master\data\events\3754306.json,2,27
3754307,open-data-master\data\events\3754307.json,2,27
3754308,open-data-master\data\events\3754308.json,2,27
3754309,open-data-master\data\events\3754309.json,2,27
3754310,open-data-master\data\events\3754310.json,2,27
3754311,open-data-master\data\events\3754311.json,2,27
3754312,open-data-master\data\events\3754312.json,2,27
3754313,open-data-master\data\events\3754313.json,2,27
3754314,open-data-master\data\events\3754314.json,2,27
3754315,open-data-master\data\events\3754315.json,2,27
3754317,open-data-master\data\events\3754317.json,2,27
3754318,open-data-master\data\events\3754318.json,2,27
3754319,open-data-master\data\events\3754319.json,2,27
3754320,open-data-master\data\events\3754320.json,2,27
3754321,open-data-master\data\events\3754321.json,2,27
3754323,open-data-master\data\events\3754323.json,2,27
3754324,open-data-master\data\events\3754324.json,2,27
3754325,open-data-master\data\events\3754325.json,2,27
3754326,open-data-master\data\events\3754326.json,2,27
3754328,open-data-master\data\events\3754328.json,2,27
3754329,open-data-master\data\events\3754329.json,2,27
3754331,open-data-master\data\events\3754331.json,2,27
3754332,open-data-master\data\events\3754332.json,2,27
3754333,open-data-master\data\events\3754333.json,2,27
3754334,open-data-master\data\events\3754334.json,2,27
3754335,open-data-master\data\events\3754335.json,2,27
3754336,open-data-master\data\events\3754336.json,2,27
3754338,open-data-master\data\events\3754338.json,2,27
3754339,open-data-master\data\events\3754339.json,2,27
3754340,open-data-master\data\events\3754340.json,2,27
